               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.038941,           0.0085186,           0.0010046,             0.78925,              0.4317,             0.52164,             0.25139,            0.057604,           0.0097509,           0.0079956,            0.006502,            0.006502,            0.006502
                 108,            0.044777,           0.0092432,             0.00108,             0.81839,             0.45296,             0.54863,             0.24864,            0.057921,           0.0098025,           0.0079552,            0.006469,            0.006469,            0.006469
                 109,            0.044055,           0.0091308,           0.0015163,             0.76885,             0.46859,             0.53046,             0.23753,            0.057014,            0.010014,           0.0057433,            0.006436,            0.006436,            0.006436
                 110,            0.043948,            0.008558,           0.0010265,             0.74119,             0.48446,             0.55092,             0.27092,            0.057609,            0.010306,           0.0052128,            0.006403,            0.006403,            0.006403
                 111,             0.03926,           0.0090689,             0.00096,             0.75392,             0.50761,             0.57077,             0.24871,            0.056323,            0.010176,           0.0048405,             0.00637,             0.00637,             0.00637
                 112,            0.045815,           0.0085324,          0.00093081,             0.89435,             0.46184,             0.54666,             0.24265,            0.059029,            0.010405,             0.00539,            0.006337,            0.006337,            0.006337
                 113,            0.049701,           0.0085891,           0.0025041,             0.85824,             0.49903,             0.58138,             0.25827,            0.063623,           0.0099445,           0.0076613,            0.006304,            0.006304,            0.006304
                 114,            0.044829,           0.0091926,           0.0010791,             0.65382,             0.47579,             0.52231,              0.2686,             0.05881,           0.0095728,           0.0089337,            0.006271,            0.006271,            0.006271
                 115,            0.042279,           0.0086295,          0.00099698,             0.75679,             0.51002,             0.53898,             0.25208,            0.058738,           0.0094954,           0.0074136,            0.006238,            0.006238,            0.006238
                 116,            0.041433,           0.0080491,           0.0010803,             0.72265,             0.50139,             0.54508,             0.24788,            0.056655,           0.0094894,           0.0066032,            0.006205,            0.006205,            0.006205
                 117,            0.042523,           0.0091741,           0.0015361,             0.75615,             0.53705,             0.56835,             0.27072,            0.056171,           0.0094364,           0.0066006,            0.006172,            0.006172,            0.006172
                 118,            0.042516,           0.0092592,           0.0011981,             0.65879,             0.55033,             0.57302,              0.2558,            0.059888,           0.0096267,           0.0064387,            0.006139,            0.006139,            0.006139
